chart,rank,track,artists,remixers,mix,genre,bpm,key,key_letter,key_chord,length_ms,length,label,release_date,is_dj_edit,is_ugc_remix,explicit
main,1,Just A Little Bit More,Mau P,,Extended,Dance / Pop,128,Gb Major,G,Major,381221,6:21,"Generation Rebrand B.V., under exclusive license to Interscope Records",2026-09-04,False,False,False
main,2,How Ya Feelin',L.P. Rhythm,,Extended Mix,Dance / Pop,132,B Major,B,Major,339090,5:39,Lost Property,2026-09-04,False,False,False
main,3,1997,Beave,,Original Mix,House,132,Eb Minor,E,Minor,363636,6:03,Staff Only,2026-08-27,False,False,False
main,4,Movin' To The Sun,Ultra Nate; HUGEL; Imael Angel,,Extended Mix,Indie Tech,125,F Minor,F,Minor,353760,5:53,Make The Girls Dance Records,2026-05-22,False,False,False
main,5,Gotta Be Cool,Rafael,LUCH,Luch Remix,Indie Tech,124,Db Major,D,Major,418064,6:58,Crosstown Rebels,2026-09-11,False,False,False
main,6,She Can Love U,Rafael; Toni B,,Original Mix,Indie Tech,125,G Major,G,Major,334080,5:34,tszr,2026-08-14,False,False,False
main,7,Sun is Shining (Lovelee Dae),Tommy Phillips,,Extended Mix,House,130,G Minor,G,Minor,340615,5:40,Safelight Records.,2026-08-19,False,False,False
main,8,"1,2,3",Volkoder; James Hype,,Extended,Tech House,127,Db Minor,D,Minor,302864,5:02,Tomorrowland Music / SoundOn,2026-09-04,False,False,False
main,9,Godzilla,Voltage,,Original Mix,Drum & Bass,104,D Major,D,Major,223912,3:43,Digital Soundboy,2026-09-18,False,False,False
main,10,Freak,Ink; Mesto,,Extended Mix,Bass House,128,Gb Major,G,Major,180000,3:00,Experts Only,2026-09-18,False,False,True
main,11,Free Your Mind,Sybil; Cloonee; Prospa,,Extended Mix,Indie Tech,128,B Minor,B,Minor,304380,5:04,CircoLoco Records,2026-03-27,False,False,False
main,12,Control,Joseph Capriati; GENNARO,,Extended Mix,House,128,C Minor,C,Minor,380625,6:20,Metamorfosi Records,2026-09-18,False,False,False
main,13,Landlords Nightmare,CAMELPHAT,,Original Mix,Tech House,130,Bb Major,B,Major,295487,4:55,Diynamic,2026-09-09,False,False,False
main,14,Legacy (Assanssan),Rooléh,,Original Mix,House,128,G Minor,G,Minor,371093,6:11,tszr,2026-09-11,False,False,False
main,15,Talk To You ,ANOTR; 54 Ultra,,Extended Mix,House,132,G Minor,G,Minor,306779,5:06,NO ART,2026-03-06,False,False,False
main,16,Trapped,Kolter,,Original Mix,Deep House,130,Eb Minor,E,Minor,384344,6:24,Koltrax,2026-04-10,False,False,False
